phase,offered_tps,confirmed_tps,offered_tps_actual,fail_rate,committed,submitted,invalid,errored,timed_out,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_p99.9_ms,submit_p50_ms,commit_p50_ms,goodput_ratio,send_gap_p99_ms,invariant_ok,verdict
probe,10,10.00,10.00,0.0000,300,300,0,0,0,323.58,525.82,528.38,528.90,4.69,318.21,1.0000,1.10,true,
sweep-100,100,100.00,100.00,0.0000,1500,1500,0,0,0,288.00,517.12,537.60,543.74,3.67,283.90,1.0000,1.11,true,held
sweep-250,250,250.00,250.00,0.0000,3750,3750,0,0,0,291.33,519.94,539.65,546.30,3.14,287.23,1.0000,1.09,true,held
sweep-500,500,500.00,500.00,0.0000,7500,7500,0,0,0,318.72,544.77,564.74,572.42,2.95,315.39,1.0000,1.08,true,held
sweep-1000,1000,1000.00,1000.00,0.0000,15000,15000,0,0,0,372.22,596.48,616.96,628.22,3.06,368.90,1.0000,1.05,true,held
sweep-2000,2000,2000.00,2000.00,0.0000,30000,30000,0,0,0,260.10,372.22,383.23,390.66,4.07,244.10,1.0000,1.10,true,held
sweep-3500,3500,3500.00,3500.00,0.0000,52500,52500,0,0,0,4259.84,4620.29,4673.54,4718.59,35.01,4218.88,1.0000,3.30,true,held
sweep-5000,5000,3098.20,5000.00,0.3804,46473,75000,0,28527,0,12984.32,13115.39,13139.97,13156.35,51.14,12926.98,0.6196,2.74,true,failure rate 38.04% > 2.00%
sweep-7500,7500,2933.33,7500.00,0.6089,44000,112500,0,68500,0,19824.64,20135.94,20185.09,20234.24,86.27,19742.72,0.3911,1.99,true,failure rate 60.89% > 2.00%
hold,3150,2980.87,3150.00,0.0537,760122,803250,0,43128,0,8413.18,8765.44,8880.13,8962.05,38.72,8368.13,0.9463,3.93,true,
