phase,offered_tps,confirmed_tps,offered_tps_actual,fail_rate,committed,submitted,invalid,errored,timed_out,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_p99.9_ms,submit_p50_ms,commit_p50_ms,goodput_ratio,send_gap_p99_ms,invariant_ok,verdict
probe,10,10.00,10.00,0.0000,300,300,0,0,0,103.10,780.29,932.86,985.60,17.26,0.02,1.0000,1.10,true,
sweep-100,100,100.00,100.00,0.0000,1500,1500,0,0,0,286.21,799.23,887.81,929.28,0.85,285.18,1.0000,1.10,true,held
sweep-250,250,250.00,250.00,0.0000,3750,3750,0,0,0,102.91,700.42,786.43,840.70,0.85,0.13,1.0000,1.08,true,held
sweep-500,500,500.00,500.00,0.0000,7500,7500,0,0,0,113.73,634.37,716.80,765.44,0.47,113.28,1.0000,1.08,true,held
sweep-1000,1000,1000.00,1000.00,0.0000,15000,15000,0,0,0,102.53,837.63,988.16,1036.29,0.44,91.46,1.0000,1.09,true,held
sweep-2000,2000,2000.00,2000.00,0.0000,30000,30000,0,0,0,101.95,815.62,973.31,1046.02,2.50,0.09,1.0000,1.08,true,held
sweep-3500,3500,3500.00,3500.00,0.0000,52500,52500,0,0,0,103.94,677.89,769.54,828.93,0.58,95.30,1.0000,1.11,true,held
sweep-5000,5000,5000.00,5000.00,0.0000,75000,75000,0,0,0,104.45,640.00,726.02,759.30,2.45,0.43,1.0000,1.13,true,held
sweep-7500,7500,7499.93,7499.93,0.0000,112499,112499,0,0,0,104.83,603.65,670.21,705.54,4.38,0.66,1.0000,1.13,true,held
sweep-10000,10000,10000.00,10000.00,0.0000,150000,150000,0,0,0,110.27,599.55,655.36,690.69,7.68,0.77,1.0000,1.67,true,held
sweep-15000,15000,15000.00,15000.00,0.0000,225000,225000,0,0,0,196.61,665.60,728.06,773.12,19.36,194.69,1.0000,3.96,true,held
hold,13500,13499.99,13500.00,0.0000,3442498,3442499,0,0,1,180.10,647.68,732.16,887.30,17.58,162.94,1.0000,3.08,true,
