NAMES                                                                                                     IMAGE                                                                                                                                                                      STATUS                          CREATED
dev-peer0.org2.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9   dev-peer0.org2.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9-68943f16f9aba9f24cbd04de158905f755f192c405682abc67b51f4b237b88ec   Up 11 minutes                   11 minutes ago
dev-peer0.org1.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9   dev-peer0.org1.example.com-kvstore_1.0-e88284a33ff8806958375f99312782794164d62aac26fe22876f2c72fb6294d9-69fc7c62d4c586b892ebdf21972c9f99a025fa7f3de7b416a325aa17c7d14ed9   Up 11 minutes                   11 minutes ago
magical_spence                                                                                            1682c70f2ceb                                                                                                                                                               Created                         12 minutes ago
blissful_yonath                                                                                           b251673c5627                                                                                                                                                               Created                         12 minutes ago
nifty_carver                                                                                              05378396b561                                                                                                                                                               Created                         12 minutes ago
silly_solomon                                                                                             e347a1fa0f70                                                                                                                                                               Created                         12 minutes ago
peer0.org1.example.com                                                                                    hyperledger/fabric-peer:latest                                                                                                                                             Up 12 minutes                   12 minutes ago
orderer3.example.com                                                                                      hyperledger/fabric-orderer:latest                                                                                                                                          Up 12 minutes                   12 minutes ago
orderer4.example.com                                                                                      hyperledger/fabric-orderer:latest                                                                                                                                          Up 12 minutes                   12 minutes ago
orderer2.example.com                                                                                      hyperledger/fabric-orderer:latest                                                                                                                                          Up 12 minutes                   12 minutes ago
peer0.org2.example.com                                                                                    hyperledger/fabric-peer:latest                                                                                                                                             Up 12 minutes                   12 minutes ago
orderer.example.com                                                                                       hyperledger/fabric-orderer:latest                                                                                                                                          Up 12 minutes                   12 minutes ago
bench-monitoring-grafana-1                                                                                grafana/grafana:11.4.0                                                                                                                                                     Up About an hour                About an hour ago
bench-monitoring-prometheus-1                                                                             prom/prometheus:v3.1.0                                                                                                                                                     Up About an hour                About an hour ago
bench-monitoring-cadvisor-1                                                                               ghcr.io/google/cadvisor:0.57.0                                                                                                                                             Up About an hour (healthy)      About an hour ago
bench-monitoring-node_exporter-1                                                                          prom/node-exporter:v1.9.0                                                                                                                                                  Up About an hour                About an hour ago
nucleus-headlamp-1                                                                                        weaverai/nucleus-k8-dashboard                                                                                                                                              Up 22 hours                     5 weeks ago
feast-control-plane                                                                                       kindest/node:v1.36.1                                                                                                                                                       Up 22 hours                     6 weeks ago
feast-worker                                                                                              kindest/node:v1.36.1                                                                                                                                                       Up 22 hours                     6 weeks ago
feast-worker2                                                                                             kindest/node:v1.36.1                                                                                                                                                       Up 22 hours                     6 weeks ago
untitled-cassandra                                                                                        cassandra:5.0                                                                                                                                                              Restarting (3) 51 seconds ago   7 weeks ago
