phase,offered_tps,confirmed_tps,offered_tps_actual,fail_rate,committed,submitted,invalid,errored,timed_out,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_p99.9_ms,submit_p50_ms,commit_p50_ms,goodput_ratio,send_gap_p99_ms,invariant_ok,verdict
probe,10,10.00,10.00,0.0000,50,50,0,0,0,251.39,318.21,385.02,385.02,0.26,250.62,1.0000,1.05,true,
sweep-100,100,100.00,100.00,0.0000,500,500,0,0,0,168.70,219.14,233.34,280.06,0.24,167.94,1.0000,1.09,true,held
sweep-250,250,250.00,250.00,0.0000,1250,1250,0,0,0,134.40,180.86,196.35,207.23,0.23,133.63,1.0000,1.09,true,held
sweep-500,500,500.00,500.00,0.0000,2500,2500,0,0,0,119.74,162.69,174.72,184.45,0.22,118.91,1.0000,1.08,true,held
sweep-1000,1000,1000.00,1000.00,0.0000,5000,5000,0,0,0,122.30,160.64,180.22,195.20,0.22,121.54,1.0000,1.08,true,held
sweep-2000,2000,1999.80,2000.00,0.0001,9999,10000,1,0,0,121.09,165.38,195.33,222.46,0.21,120.45,0.9999,1.08,true,held
sweep-3500,3500,3499.60,3500.00,0.0001,17498,17500,2,0,0,119.81,165.12,188.80,220.80,0.21,119.30,0.9999,1.02,true,held
sweep-5000,5000,4998.40,5000.00,0.0003,24992,25000,8,0,0,127.49,174.85,199.81,234.62,0.21,126.85,0.9997,0.99,true,held
sweep-7500,7500,7497.40,7500.00,0.0003,37487,37500,13,0,0,134.66,184.45,206.72,218.75,0.21,134.14,0.9997,1.06,true,held
sweep-10000,10000,9996.40,10000.00,0.0004,49982,50000,18,0,0,122.30,167.81,201.34,223.62,0.20,121.98,0.9996,1.01,true,held
hold,9000,8996.46,9000.00,0.0004,584770,585000,230,0,0,134.02,209.54,248.06,385.02,0.21,133.50,0.9996,1.26,true,
