phase,offered_tps,confirmed_tps,offered_tps_actual,fail_rate,committed,submitted,invalid,errored,timed_out,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_p99.9_ms,submit_p50_ms,commit_p50_ms,goodput_ratio,send_gap_p99_ms,invariant_ok,verdict
probe,10,10.00,10.00,0.0000,50,50,0,0,0,351.74,484.86,485.38,485.38,0.26,351.23,1.0000,1.00,true,
sweep-100,100,100.00,100.00,0.0000,500,500,0,0,0,222.72,291.07,302.85,330.75,0.24,221.44,1.0000,1.08,true,held
sweep-250,250,250.00,250.00,0.0000,1250,1250,0,0,0,198.27,254.59,280.58,292.35,0.23,197.63,1.0000,1.08,true,held
sweep-500,500,500.00,500.00,0.0000,2500,2500,0,0,0,204.16,261.50,295.94,310.27,0.22,203.39,1.0000,1.07,true,held
sweep-1000,1000,999.80,1000.00,0.0002,4999,5000,1,0,0,178.05,245.63,262.91,269.06,0.22,177.41,0.9998,1.09,true,held
sweep-2000,2000,1998.00,2000.00,0.0010,9990,10000,10,0,0,180.10,228.74,257.41,269.57,0.21,179.46,0.9990,1.07,true,held
sweep-3500,3500,3495.80,3500.00,0.0012,17479,17500,21,0,0,185.09,239.74,273.66,286.72,0.21,184.58,0.9988,1.07,true,held
sweep-5000,5000,4994.00,5000.00,0.0012,24970,25000,30,0,0,196.99,252.67,288.00,298.24,0.20,196.48,0.9988,1.06,true,held
sweep-7500,7500,7483.40,7500.00,0.0022,37417,37500,83,0,0,210.43,259.71,286.98,306.18,0.20,209.92,0.9978,1.14,true,held
sweep-10000,10000,9972.40,10000.00,0.0028,49862,50000,138,0,0,208.77,267.52,298.75,309.76,0.20,208.51,0.9972,1.28,true,held
hold,9000,8979.22,9000.00,0.0023,583649,585000,1351,0,0,202.24,260.99,287.74,313.60,0.21,201.73,0.9977,1.58,true,
