phase,offered_tps,confirmed_tps,offered_tps_actual,fail_rate,committed,submitted,invalid,errored,timed_out,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_p99.9_ms,submit_p50_ms,commit_p50_ms,goodput_ratio,send_gap_p99_ms,invariant_ok,verdict
probe,10,10.00,10.00,0.0000,300,300,0,0,0,835.07,1370.11,1467.39,1484.80,0.69,833.54,1.0000,1.14,true,
sweep-100,100,100.00,100.00,0.0000,1500,1500,0,0,0,733.18,1326.08,1485.82,1541.12,0.47,732.67,1.0000,1.16,true,held
sweep-250,250,250.00,250.00,0.0000,3750,3750,0,0,0,503.81,811.01,889.34,932.86,0.35,502.78,1.0000,1.10,true,held
sweep-500,500,500.00,500.00,0.0000,7500,7500,0,0,0,398.59,652.80,706.05,736.77,0.30,397.82,1.0000,1.09,true,held
sweep-1000,1000,1000.00,1000.00,0.0000,15000,15000,0,0,0,356.86,583.17,621.57,641.54,0.27,356.10,1.0000,1.08,true,held
sweep-2000,2000,2000.00,2000.00,0.0000,30000,30000,0,0,0,354.56,560.64,588.80,604.67,0.26,354.05,1.0000,1.12,true,held
sweep-3500,3500,3500.00,3500.00,0.0000,52500,52500,0,0,0,400.38,579.58,602.11,622.59,0.27,399.62,1.0000,1.14,true,held
sweep-5000,5000,5000.00,5000.00,0.0000,75000,75000,0,0,0,657.41,736.77,769.02,784.90,13.41,630.27,1.0000,1.72,true,held
sweep-7500,7500,3992.47,7500.00,0.4677,59887,112500,0,52613,0,17514.50,18776.06,18923.52,19185.66,16.42,17481.73,0.5323,6.63,true,failure rate 46.77% > 2.00%
sweep-10000,10000,3379.93,10000.00,0.6620,50699,150000,0,99301,0,22282.24,23511.04,24084.48,24412.16,9.58,22249.47,0.3380,2.88,true,failure rate 66.20% > 2.00%
hold,4500,4500.00,4500.00,0.0000,1147500,1147500,0,0,0,670.72,1007.10,1112.06,1181.70,6.19,640.00,1.0000,1.22,true,
