phase,offered_tps,confirmed_tps,offered_tps_actual,fail_rate,committed,submitted,invalid,errored,timed_out,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_p99.9_ms,submit_p50_ms,commit_p50_ms,goodput_ratio,send_gap_p99_ms,invariant_ok,verdict
probe,10,10.00,10.00,0.0000,300,300,0,0,0,526.85,842.75,914.43,951.81,0.64,525.82,1.0000,1.10,true,
sweep-100,100,100.00,100.00,0.0000,1500,1500,0,0,0,455.68,735.74,792.58,828.42,0.37,455.17,1.0000,1.08,true,held
sweep-250,250,250.00,250.00,0.0000,3750,3750,0,0,0,444.67,756.22,985.60,1054.72,0.32,443.65,1.0000,1.08,true,held
sweep-500,500,500.00,500.00,0.0000,7500,7500,0,0,0,499.97,946.18,1012.22,1046.02,0.29,498.94,1.0000,1.08,true,held
sweep-1000,1000,1000.00,1000.00,0.0000,15000,15000,0,0,0,531.46,830.98,904.19,944.13,0.26,530.43,1.0000,1.09,true,held
sweep-2000,2000,2000.00,2000.00,0.0000,30000,30000,0,0,0,430.59,688.13,755.20,796.16,0.26,430.08,1.0000,1.09,true,held
sweep-3500,3500,3500.00,3500.00,0.0000,52500,52500,0,0,0,397.57,630.27,679.94,709.63,0.25,397.06,1.0000,1.14,true,held
sweep-5000,5000,5000.00,5000.00,0.0000,75000,75000,0,0,0,399.87,615.94,652.29,676.86,0.25,398.85,1.0000,1.16,true,held
sweep-7500,7500,7500.00,7500.00,0.0000,112500,112500,0,0,0,479.49,675.33,726.53,771.07,0.28,475.39,1.0000,1.46,true,held
sweep-10000,10000,10000.00,10000.00,0.0000,150000,150000,0,0,0,552.45,719.36,750.08,803.84,0.53,544.26,1.0000,18.72,true,held
sweep-15000,15000,15000.00,15000.00,0.0000,225000,225000,0,0,0,635.39,803.84,859.14,893.95,5.94,615.42,1.0000,48.51,true,held
hold,13500,11558.11,13500.00,0.1438,2947317,3442500,0,495183,0,698.88,20135.94,27033.60,30638.08,3.20,676.86,0.8562,75.71,true,
