2026-08-11T06:09:01.123511774Z {"time":"2026-08-11T06:09:01.123264713Z","level":"INFO","msg":"cluster health checker started","service":"healthchecker","version":"dev","component":"health-checker","resolution":15000000000}
2026-08-11T06:09:01.123574230Z {"time":"2026-08-11T06:09:01.12344413Z","level":"INFO","msg":"server liveness sweep started","service":"healthchecker","version":"dev","component":"server-liveness","resolution":15000000000,"missed_beats":3}
2026-08-11T06:09:01.123939484Z {"time":"2026-08-11T06:09:01.123874243Z","level":"INFO","msg":"admin server listening","service":"healthchecker","version":"dev","addr":":9091"}
2026-08-11T06:09:16.221371279Z {"time":"2026-08-11T06:09:16.221232833Z","level":"WARN","msg":"health sweep: list clusters failed","service":"healthchecker","version":"dev","component":"health-checker","error":"ERROR: relation \"clusters\" does not exist (SQLSTATE 42P01)"}
2026-08-11T06:09:16.221750488Z {"time":"2026-08-11T06:09:16.221690757Z","level":"WARN","msg":"stale-op sweep failed","service":"healthchecker","version":"dev","component":"server-liveness","error":"ERROR: relation \"server_operations\" does not exist (SQLSTATE 42P01)"}
2026-08-11T06:09:16.223028281Z {"time":"2026-08-11T06:09:16.222962673Z","level":"WARN","msg":"liveness sweep failed","service":"healthchecker","version":"dev","component":"server-liveness","error":"ERROR: relation \"servers\" does not exist (SQLSTATE 42P01)"}
2026-08-11T06:09:32.041979848Z {"time":"2026-08-11T06:09:32.041834143Z","level":"WARN","msg":"stale-op sweep failed","service":"healthchecker","version":"dev","component":"server-liveness","error":"ERROR: relation \"server_operations\" does not exist (SQLSTATE 42P01)"}
2026-08-11T06:09:32.041998717Z {"time":"2026-08-11T06:09:32.041885913Z","level":"WARN","msg":"health sweep: list clusters failed","service":"healthchecker","version":"dev","component":"health-checker","error":"ERROR: column \"distribution_version_id\" does not exist (SQLSTATE 42703)"}
2026-08-11T06:09:32.043034501Z {"time":"2026-08-11T06:09:32.042957946Z","level":"WARN","msg":"liveness sweep failed","service":"healthchecker","version":"dev","component":"server-liveness","error":"ERROR: column \"agent_status\" does not exist (SQLSTATE 42703)"}
2026-08-11T06:09:46.104972300Z {"time":"2026-08-11T06:09:46.104768535Z","level":"WARN","msg":"health sweep: list clusters failed","service":"healthchecker","version":"dev","component":"health-checker","error":"failed to connect to `user=nucleus_app database=nucleus`: 172.50.0.2:5433 (weaverai-yugabyte): dial error: dial tcp 172.50.0.2:5433: connect: connection refused"}
2026-08-11T06:09:46.104993353Z {"time":"2026-08-11T06:09:46.10490579Z","level":"WARN","msg":"stale-op sweep failed","service":"healthchecker","version":"dev","component":"server-liveness","error":"failed to connect to `user=nucleus_app database=nucleus`: 172.50.0.2:5433 (weaverai-yugabyte): dial error: dial tcp 172.50.0.2:5433: connect: connection refused"}
2026-08-11T06:09:46.105305235Z {"time":"2026-08-11T06:09:46.105171676Z","level":"WARN","msg":"liveness sweep failed","service":"healthchecker","version":"dev","component":"server-liveness","error":"failed to connect to `user=nucleus_app database=nucleus`: 172.50.0.2:5433 (weaverai-yugabyte): dial error: dial tcp 172.50.0.2:5433: connect: connection refused"}
2026-08-11T06:10:01.717931145Z {"time":"2026-08-11T06:10:01.717808949Z","level":"WARN","msg":"stale-op sweep failed","service":"healthchecker","version":"dev","component":"server-liveness","error":"ERROR: relation \"server_operations\" does not exist (SQLSTATE 42P01)"}
2026-08-11T06:10:01.726999361Z {"time":"2026-08-11T06:10:01.726911283Z","level":"WARN","msg":"liveness sweep failed","service":"healthchecker","version":"dev","component":"server-liveness","error":"ERROR: column \"agent_status\" does not exist (SQLSTATE 42703)"}
2026-08-11T06:10:01.728410019Z {"time":"2026-08-11T06:10:01.728337218Z","level":"WARN","msg":"health sweep: list clusters failed","service":"healthchecker","version":"dev","component":"health-checker","error":"ERROR: column \"cni_distribution_version_id\" does not exist (SQLSTATE 42703)"}
2026-08-11T06:10:16.660396592Z {"time":"2026-08-11T06:10:16.660235171Z","level":"WARN","msg":"stale-op sweep failed","service":"healthchecker","version":"dev","component":"server-liveness","error":"ERROR: relation \"server_operations\" does not exist (SQLSTATE 42P01)"}
